,nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
64,À la poursuite de Ricky Baker,Film,['Comédie dramatique'],Un enfant et un vieil homme fuient les services sociaux en partant vivre dans la forêt.,['Taika Waititi'],1 h 41 min,31 mars 2016,"['Sam Neill', ' Julian Dennison', ' Rima Te Wiata']","{'note_moyenne': 7.5, 'nombre_critiques': 2381, 'repartition_note': [5, 2, 7, 20, 68, 278, 792, 847, 295, 67]}",67,"['7,9', '110 724']",81,"{'budget': None, 'Cumulative_WW_Gross': '$22,835,917', 'location': 'New Zealand'}"
65,Les Ogres,Film,['Comédie dramatique'],"Ils vont de ville en ville, un chapiteau sur le dos, leur spectacle en bandoulière.
Dans nos vies ils apportent le rêve et le désordre.
Ce sont des ogres, des géants, ils en ont mangé du théâtre et des kilomètres.
Mais l’arrivée imminente d’un bébé et le retour d’une ancienne amante vont raviver des blessures que l’on croyait oubliées.
Alors que la fête commence !",['Léa Fehner'],2 h 24 min,16 mars 2016,"['Adèle Haenel', ' Marc Barbé', ' François Fehner']","{'note_moyenne': 7.0, 'nombre_critiques': 1614, 'repartition_note': [8, 14, 30, 48, 108, 263, 419, 454, 210, 60]}",68,"['6,9', '697']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$35,600', 'location': 'France'}"
66,Les Ardennes,Film,['Drame'],"Un cambriolage tourne mal. Dave arrive à s’enfuir mais laisse son frère Kenneth derrière lui. Quatre ans plus tard, à sa sortie de prison, Kenneth, au tempérament violent, souhaite reprendre sa vie là où il l’avait laissée et est plus que jamais déterminé à reconquérir sa petite amie Sylvie.
Ce qu’il ne sait pas, c’est qu’entre-temps, Dave et Sylvie sont tombés amoureux et mènent désormais une vie rangée ensemble.
Avouer la vérité à Kenneth pourrait tourner au règlement de compte…",['Robin Pront'],1 h 33 min,13 avril 2016,"['Veerle Baetens', ' Jan Bijvoet', ' Eric Godon']","{'note_moyenne': 6.8, 'nombre_critiques': 2934, 'repartition_note': [6, 24, 36, 105, 211, 588, 1113, 661, 154, 36]}",69,"['6,8', '4 720']",47,"{'budget': 'EUR2,200,000', 'Cumulative_WW_Gross': '$1,366,879', 'location': 'Belgium'}"
67,Dofus - Livre 1 : Julith,Long-métrage d'animation,"['Animation', ' aventure', 'fantasy']","Dans la majestueuse cité de Bonta, Joris coule des jours heureux, aux côtés de Kerubim Crépin, son papycha adoptif. Mais tout bascule lorsque Joris, bravant l’interdiction de papycha, tente d’approcher son idole de toujours, la mégastar du Boufbowl, Khan Karkass. De son côté, Julith, la sorcière, revient avec une revanche à prendre et un objectif : anéantir Bonta. Joris et ses amis arriveront-ils à sauver la cité et tous ses habitants ?","['Jean-Jacques Denis', 'Anthony Roux']",1 h 40 min,3 février 2016,"['Sauvane Delanoe', ' Laetitia Lefebvre', ' Elisabeth Ventura']","{'note_moyenne': 6.8, 'nombre_critiques': 3768, 'repartition_note': [24, 33, 52, 128, 252, 709, 1289, 828, 302, 151]}",70,"['7,6', '568']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$13,804', 'location': 'France'}"
68,High-Rise,Film,"['Drame', 'science-fiction']","1975. Le Dr Robert Laing, en quête d'anonymat, emménage près de Londres dans un nouvel appartement d'une tour tout juste achevée ; mais il va vite découvrir que ses voisins, obsédés par une étrange rivalité, n'ont pas l'intention de le laisser en paix...",['Ben Wheatley'],1 h 59 min,18 mars 2016,"['Tom Hiddleston', ' Jeremy Irons', ' Sienna Miller']","{'note_moyenne': 5.5, 'nombre_critiques': 4746, 'repartition_note': [73, 151, 357, 682, 903, 1115, 854, 458, 120, 33]}",71,"['5,6', '38 031']",65,"{'budget': None, 'Cumulative_WW_Gross': '$4,289,074', 'location': 'UK | Ireland | Belgium'}"
69,Suicide Squad,Film,"['Action', ' aventure', ' fantastique']","C'est tellement jouissif d'être un salopard ! Face à une menace aussi énigmatique qu'invincible, l'agent secret Amanda Waller réunit une armada de crapules de la pire espèce. Armés jusqu'aux dents par le gouvernement, ces Super-Méchants s'embarquent alors pour une mission-suicide. Jusqu'au moment... Lire la suite",['David Ayer'],2 h 03 min,3 août 2016,"['Will Smith', ' Margot Robbie', ' Jared Leto']","{'note_moyenne': 4.2, 'nombre_critiques': 32442, 'repartition_note': [2136, 3398, 5376, 6146, 6120, 4931, 2614, 1038, 334, 349]}",72,"['6,0', '599 167']",40,"{'budget': '$175,000,000', 'Cumulative_WW_Gross': '$746,846,894', 'location': 'USA'}"
70,Moonlight,Film,['Drame'],"Dans le Miami des années 80 en proie à la drogue, Moonlight se concentre sur trois moments de la vie de Chiron, un jeune homme qui se bat contre une vie familiale rude et sa sexualité naissante.",['Barry Jenkins'],1 h 50 min,18 novembre 2016,"['Alex R. Hibbert', ' Ashton Sanders', ' Trevante Rhodes']","{'note_moyenne': 7.1, 'nombre_critiques': 25746, 'repartition_note': [51, 80, 223, 522, 1480, 3970, 8220, 7523, 2832, 845]}",73,"['7,4', '272 473']",99,"{'budget': '$4,000,000', 'Cumulative_WW_Gross': '$65,336,603', 'location': 'USA'}"
71,Star Trek : Sans limites,Film,"['Action', ' aventure', ' science-fiction']","Une aventure toujours plus épique de l’USS Enterprise et de son audacieux équipage. L’équipe explore les confins inexplorés de l'espace, faisant face chacun, comme la Fédération toute entière, à une nouvelle menace.",['Justin Lin'],2 h 02 min,8 juillet 2016,"['Chris Pine', ' Zachary Quinto', ' Karl Urban']","{'note_moyenne': 6.0, 'nombre_critiques': 11484, 'repartition_note': [66, 162, 375, 869, 1938, 3668, 3093, 1041, 189, 83]}",74,"['7,1', '227 486']",68,"{'budget': '$185,000,000', 'Cumulative_WW_Gross': '$343,471,816', 'location': 'USA | China | United Arab Emirates | Canada'}"
72,Victoria,Film,['Comédie dramatique'],"Victoria Spick, avocate pénaliste en plein néant sentimental, débarque à un mariage où elle retrouve son ami Vincent et Sam, un ex-dealer qu’elle a sorti d’affaire. Le lendemain, Vincent est accusé de tentative de meurtre par sa compagne. Seul témoin de la scène, le chien de la victime. Victoria accepte à contrecœur de défendre Vincent tandis qu'elle embauche Sam comme jeune homme au pair. Le début d’une série de cataclysmes pour Victoria.",['Justine Triet'],1 h 37 min,14 septembre 2016,"['Virginie Efira', ' Vincent Lacoste', ' Melvil Poupaud']","{'note_moyenne': 6.1, 'nombre_critiques': 8015, 'repartition_note': [41, 103, 239, 521, 1235, 2398, 2489, 831, 126, 32]}",75,"['8,2', '22 268']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': None, 'location': 'UK'}"
73,Colonia,Film,"['Drame', ' historique', 'thriller']","Chili, 1973. Le Général Pinochet s’empare du pouvoir par la force. Les opposants au coup d’Etat descendent dans la rue. Parmi les manifestants, un jeune couple, Daniel photographe et son amie Lena.
Daniel est arrêté par la nouvelle police politique.
Il est conduit dans un camp secret, caché dans un lieu reculé au sein d’une secte dirigée par un ancien nazi.
Une prison dont personne n’est jamais sorti.
Pour retrouver son amant, Lena va pourtant rentrer dans la Colonia Dignidad.",['Florian Gallenberger'],1 h 50 min,18 février 2016,"['Emma Watson', ' Daniel Brühl', ' Michael Nyqvist']","{'note_moyenne': 6.8, 'nombre_critiques': 5468, 'repartition_note': [12, 15, 41, 147, 382, 1027, 2114, 1254, 361, 115]}",76,"['7,1', '47 691']",33,"{'budget': '$14,000,000', 'Cumulative_WW_Gross': '$3,621,046', 'location': 'Germany | France | Luxembourg | UK | USA'}"
74,Rester vertical,Film,['Drame'],"Léo est à la recherche du loup sur un grand causse de Lozère lorsqu’il rencontre une bergère, Marie. Quelques mois plus tard, ils ont un enfant. En proie au baby blues, et sans aucune confiance en Léo qui s’en va et puis revient sans prévenir, elle les abandonne tous les deux. Léo se retrouve... Lire la suite",['Alain Guiraudie'],1 h 39 min,24 août 2016,"['Damien Bonnard', ' India Hair', ' Raphaël Thiéry']","{'note_moyenne': 6.1, 'nombre_critiques': 1821, 'repartition_note': [51, 62, 83, 155, 226, 355, 465, 307, 97, 20]}",78,"['6,1', '2 087']",65,"{'budget': None, 'Cumulative_WW_Gross': '$456,271', 'location': 'France'}"
75,Godzilla : Resurgence,Film,"['Action', ' aventure', ' drame']","Un raz de marée inonde une partie de la côte de Tokyo. Après avoir pensé qu’il s’agissait d’une catastrophe naturelle, les scientifiques se rendent compte que le responsable de ce désastre n’est autre que Godzilla, une créature géante prête à tout détruire sur son passage.","['Hideaki Anno', 'Shinji Higuchi']",2 h,29 juillet 2016,"['Hiroki Hasegawa', ' Yutaka Takenouchi', ' Satomi Ishihara']","{'note_moyenne': 7.0, 'nombre_critiques': 1523, 'repartition_note': [9, 9, 32, 64, 129, 228, 447, 415, 144, 46]}",79,"['6,8', '22 096']",67,"{'budget': None, 'Cumulative_WW_Gross': '$78,053,145', 'location': 'Japan'}"
76,Chocolat,Film,['Biopic'],"Du cirque au théâtre, de l'anonymat à la gloire, l'incroyable destin du clown Chocolat (Omar Sy), premier artiste noir de la scène française.Le duo inédit qu'il forme avec Footit (James Thierrée), va rencontrer un immense succès populaire dans le Paris de la Belle époque avant que la célébrité, l'argent facile, le jeu et les discriminations n'usent leur amitié et la carrière de Chocolat.Le film retrace l'histoire de cet artiste hors du commun.",['Roschdy Zem'],1 h 50 min,3 février 2016,"['Omar Sy', ' James Thierrée', ' Clotilde Hesme']","{'note_moyenne': 6.3, 'nombre_critiques': 8007, 'repartition_note': [47, 67, 140, 410, 1090, 2312, 2587, 1036, 237, 81]}",80,"['7,0', '6 792']",Reviews,"{'budget': '$18,500,000', 'Cumulative_WW_Gross': '$15,291,827', 'location': 'France'}"
77,Sausage Party : La vie privée des aliments,Long-métrage d'animation,"['Comédie', 'aventure']",Une petite saucisse s'embarque dans une dangereuse quête pour découvrir les origines de son existence...,"['Conrad Vernon', 'Greg Tiernan']",1 h 29 min,11 août 2016,"['Seth Rogen', ' Kristen Wiig', ' Nick Kroll']","{'note_moyenne': 5.6, 'nombre_critiques': 16656, 'repartition_note': [694, 716, 1068, 1636, 2718, 4053, 3664, 1561, 378, 168]}",81,"['6,1', '175 443']",66,"{'budget': '$19,000,000', 'Cumulative_WW_Gross': '$140,705,322', 'location': 'USA | Canada'}"
78,Money Monster,Film,"['Policier', ' drame', 'thriller']","Lee Gates est une personnalité influente de la télévision et un gourou de la finance à Wall Street. Les choses se gâtent lorsque Kyle, un spectateur ayant perdu tout son argent en suivant les conseils de Gates, décide de le prendre en otage pendant son émission, devant des millions de téléspectateurs…",['Jodie Foster'],1 h 35 min,7 avril 2016,"['George Clooney', ' Julia Roberts', "" Jack O'Connell""]","{'note_moyenne': 6.2, 'nombre_critiques': 8520, 'repartition_note': [39, 74, 195, 562, 1276, 2649, 2620, 916, 147, 42]}",82,"['6,5', '94 202']",55,"{'budget': '$27,000,000', 'Cumulative_WW_Gross': '$93,282,604', 'location': 'USA'}"
79,Personal Shopper,Film,"['Fantastique', ' thriller', 'drame']","Maureen est une jeune Américaine à Paris gagnant sa vie comme «personal shopper» pour une célébrité. Elle possède aussi une capacité aigüe à communiquer avec les esprits, qu’elle partageait avec son frère jumeau, Lewis, décédé récemment...",['Olivier Assayas'],1 h 45 min,14 décembre 2016,"['Kristen Stewart', ' Lars Eidinger', ' Sigrid Bouaziz']","{'note_moyenne': 5.8, 'nombre_critiques': 4540, 'repartition_note': [53, 95, 261, 520, 865, 1197, 996, 402, 115, 36]}",83,"['6,1', '36 359']",77,"{'budget': '$6,000,000', 'Cumulative_WW_Gross': '$2,840,408', 'location': 'France | Germany | Czech Republic | Belgium'}"
80,Voyage à travers le cinéma français,Documentaire,,"Ce travail de citoyen et d’espion, d’explorateur et de peintre, de chroniqueur et d’aventurier qu’ont si bien décrit tant d’auteurs, de Casanova à Gilles Perrault, n’est-ce pas une belle définition du métier de cinéaste que l’on a envie d’appliquer à Renoir, à Becker, au Vigo de l’Atalante, à Duvivier, aussi bien qu’à Truffaut ou Demy. A Max Ophuls et aussi à Bresson. Et à des metteurs en scène moins connus, Grangier, Gréville ou encore Sacha, qui, au détour d’une scène ou d’un film, illuminent une émotion, débusquent des vérités surprenantes. Je voudrais que ce film soit un acte de gratitude envers tous ceux, cinéastes, scénaristes, acteurs et musiciens qui ont surgi dans ma vie. La mémoire réchauffe : ce film, c’est un peu de charbon pour les nuits d’hiver.",['Bertrand Tavernier'],3 h 15 min,12 octobre 2016,['Bertrand Tavernier et André Marcon'],"{'note_moyenne': 7.6, 'nombre_critiques': 948, 'repartition_note': [1, 1, 8, 9, 33, 64, 282, 363, 147, 40]}",84,"['7,7', '719']",87,"{'budget': None, 'Cumulative_WW_Gross': '$71,174', 'location': 'France'}"
81,Quand on a 17 ans,Film,['Drame'],"L'histoire de deux garçons qui se battent tout le temps, que les familles respectives n’arrivent pas à séparer. L’éducation scolaire intervient pour les séparer pour éviter qu’ils se battent. La question est de savoir comment tout ça va évoluer, s’ils vont rester ennemis jusqu’au bout ou s’ils vont parvenir à se rapprocher",['André Téchiné'],1 h 56 min,30 mars 2016,"['Sandrine Kiberlain', ' Kacey Mottet Klein', ' Corentin Fila']","{'note_moyenne': 6.5, 'nombre_critiques': 2977, 'repartition_note': [15, 29, 68, 150, 305, 678, 973, 572, 147, 40]}",85,"['7,1', '5 660']",83,"{'budget': None, 'Cumulative_WW_Gross': '$2,050,766', 'location': 'France'}"
82,Insaisissables 2,Film,"['Action', 'comédie']","Un an après avoir surpassé le FBI et acquis l'admiration du grand public grâce à leurs tours exceptionnels, les Quatre Cavaliers reviennent ! Pour leur retour sur le devant de la scène, ils vont dénoncer les méthodes peu orthodoxes d'un magnat de la technologie à la tête d'une vaste organisation criminelle. Ils ignorent cependant que cet homme d'affaires, Walter Marbrya, a une longueur d'avance sur eux et les conduit droit dans un piège...",['Jon M. Chu'],2 h 09 min,10 juin 2016,"['Jesse Eisenberg', ' Mark Ruffalo', ' Woody Harrelson']","{'note_moyenne': 5.2, 'nombre_critiques': 16179, 'repartition_note': [280, 561, 1106, 2090, 3301, 4137, 2917, 1160, 385, 242]}",86,"['6,5', '248 497']",46,"{'budget': '$90,000,000', 'Cumulative_WW_Gross': '$334,897,606', 'location': 'USA | Mexico | France | Hong Kong'}"
83,Kung Fu Panda 3,Long-métrage d'animation,"['Comédie', 'animation']","Po avait toujours cru son père panda disparu, mais le voilà qui réapparait ! Enfin réunis, père et fils vont voyager jusqu'au paradis secret du peuple panda. Ils y feront la connaissance de certains de leurs semblables, tous plus déjantés les uns que les autres. Mais lorsque le maléfique Kaï... Lire la suite","['Jennifer Yuh Nelson', 'Alessandro Carloni']",1 h 35 min,28 janvier 2016,"['Manu Payet', ' Pierre Arditi', ' Alison Wheeler']","{'note_moyenne': 6.2, 'nombre_critiques': 9774, 'repartition_note': [41, 97, 227, 494, 1474, 2962, 2874, 1186, 268, 151]}",87,"['7,1', '134 096']",66,"{'budget': '$145,000,000', 'Cumulative_WW_Gross': '$521,170,825', 'location': 'USA | China'}"
84,Mr Wolff,Film,"['Drame', ' policier', 'thriller']","Petit génie des mathématiques, Christian Wolff est plus à l'aise avec les chiffres qu'avec les gens. Expert-comptable dans le civil, il travaille en réalité pour plusieurs organisations mafieuses parmi les plus dangereuses au monde. Lorsque la brigade anti-criminalité du ministère des Finances... Lire la suite","[""Gavin O'Connor""]",2 h 10 min,13 octobre 2016,"['Ben Affleck', ' Anna Kendrick', ' J.K. Simmons']","{'note_moyenne': 6.3, 'nombre_critiques': 7145, 'repartition_note': [22, 54, 156, 411, 1004, 1996, 2338, 910, 203, 51]}",88,"['7,3', '259 509']",51,"{'budget': '$44,000,000', 'Cumulative_WW_Gross': '$155,160,045', 'location': 'USA'}"
85,Ce sentiment de l'été,Film,['Drame'],"Au milieu de l'été, Sasha, 30 ans, décède soudainement. Alors qu'ils se connaissent peu, son compagnon Lawrence et sa sœur Zoé se rapprochent. Ils partagent comme ils peuvent la peine et le poids de l'absence, entre Berlin, Paris et New York. Trois étés, trois villes, le temps de leur retour à la... Lire la suite",['Mikhaël Hers'],1 h 46 min,17 février 2016,"['Anders Danielsen Lie', ' Judith Chemla', ' Marie Rivière']","{'note_moyenne': 6.7, 'nombre_critiques': 1131, 'repartition_note': [9, 6, 25, 37, 107, 201, 376, 262, 83, 25]}",89,"['6,7', '521']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': None, 'location': 'France | Germany'}"
86,Alice de l'autre côté du miroir,Film,"['Aventure', 'fantasy']","De retour au pays des merveilles, Alice doit remonter le temps afin de sauver la vie du Chapelier Fou.",['James Bobin'],1 h 53 min,25 mai 2016,"['Mia Wasikowska', ' Johnny Depp', ' Anne Hathaway']","{'note_moyenne': 5.3, 'nombre_critiques': 11621, 'repartition_note': [195, 387, 695, 1376, 2432, 3027, 2178, 911, 246, 174]}",90,"['6,2', '93 410']",34,"{'budget': '$170,000,000', 'Cumulative_WW_Gross': '$299,457,024', 'location': 'USA | UK'}"
87,Nerve,Film,"['Policier', 'thriller']","En participant à NERVE, un jeu qui diffuse en direct sur Internet des défis filmés, Vee et Ian décident de s’associer pour relever des challenges de plus en plus risqués et gagner toujours plus d’argent. Mais bientôt les deux « Joueurs » s’aperçoivent que leurs moindres mouvements sont manipulés par une communauté anonyme de « Voyeurs ». Le jeu vire au cauchemar. Impossible d’arrêter…","['Ariel Schulman', 'Henry Joost']",1 h 36 min,27 juillet 2016,"['Emma Roberts', ' Dave Franco', ' Juliette Lewis']","{'note_moyenne': 5.6, 'nombre_critiques': 10867, 'repartition_note': [127, 285, 565, 1110, 2076, 3070, 2255, 902, 286, 191]}",91,"['6,5', '115 646']",58,"{'budget': '$19,000,000', 'Cumulative_WW_Gross': '$85,251,425', 'location': 'USA'}"
88,Les Sept Mercenaires,Film,"['Western', 'action']","L’industriel Bartholomew Bogue règne en maître sur la petite ville de Rose Creek. Pour mettre fin au despotisme de l’homme d’affaires, les habitants, désespérés, engagent sept hors-la-loi, chasseurs de primes, joueurs et tueurs à gages. Alors qu’ils se préparent pour ce qui s’annonce comme une confrontation sans pitié, ces sept mercenaires prennent conscience qu’ils se battent pour bien autre chose que l’argent…",['Antoine Fuqua'],2 h 12 min,22 septembre 2016,"['Denzel Washington', ' Chris Pratt', ' Ethan Hawke']","{'note_moyenne': 5.9, 'nombre_critiques': 9469, 'repartition_note': [86, 130, 372, 734, 1608, 2858, 2494, 918, 201, 68]}",92,"['6,9', '184 719']",54,"{'budget': '$90,000,000', 'Cumulative_WW_Gross': '$162,360,636', 'location': 'USA | Australia'}"
89,War Dogs,Film,['Comédie'],,['Todd Phillips'],1 h 54 min,19 août 2016,"['Miles Teller', ' Jonah Hill', ' Bradley Cooper']","{'note_moyenne': 6.3, 'nombre_critiques': 9411, 'repartition_note': [28, 49, 165, 419, 1134, 3047, 3406, 1001, 121, 41]}",94,"['7,1', '176 912']",57,"{'budget': '$40,000,000', 'Cumulative_WW_Gross': '$86,234,523', 'location': 'USA | Cambodia | Romania'}"
90,La Saison des femmes,Film,['Drame'],"Inde, Etat du Gujarat, de nos jours. Dans un petit village, quatre femmes osent s'opposer aux hommes et aux traditions ancestrales qui les asservissent. Portées par leur amitié et leur désir de liberté, elles affrontent leurs démons, et rêvent d'amour et d'ailleurs.",['Leena Yadav'],1 h 56 min,20 avril 2016,"['Radhika Apte', ' Surveen Chawla', ' Sayani Gupta']","{'note_moyenne': 7.5, 'nombre_critiques': 938, 'repartition_note': [0, 1, 5, 8, 35, 84, 273, 349, 138, 45]}",95,"['7,5', '4 786']",67,"{'budget': '$2,700,000', 'Cumulative_WW_Gross': '$1,584,153', 'location': 'India | UK | USA'}"
91,Folles de joie,Film,['Comédie'],"Beatrice est une mythomane bavarde au comportement excessif.
Donatella est une jeune femme tatouée, fragile et introvertie.
Ces deux patientes de la Villa Biondi, une institution thérapeutique pour femmes sujettes à des troubles mentaux, se lient d’amitié.
Une après-midi, elles décident de s’enfuir bien décidées à trouver un peu de bonheur dans cet asile de fous à ciel ouvert qu’est le monde des gens « sains».",['Paolo Virzì'],1 h 58 min,17 mai 2016,"['Valéria Bruni-Tedeschi', ' Micaela Ramazzotti', ' Anna Galiena']","{'note_moyenne': 7.0, 'nombre_critiques': 1597, 'repartition_note': [7, 5, 11, 37, 79, 256, 553, 470, 135, 44]}",96,"['7,2', '8 498']",74,"{'budget': 'EUR15,000,000', 'Cumulative_WW_Gross': '$9,029,150', 'location': 'Italy | France'}"
92,Avant toi,Film,['Drame'],"Une charmante petite ville de l'Angleterre rurale. Si elle est originale et artiste dans l'âme, Louisa ""Lou"" Clark, 26 ans, n'a aucune ambition particulière. Elle se contente d'enchaîner les boulots pour permettre à ses proches de joindre les deux bouts. Jeune et riche banquier, Will Traynor... Lire la suite",['Thea Sharrock'],1 h 50 min,2 juin 2016,"['Emilia Clarke', ' Sam Claflin', ' Charles Dance']","{'note_moyenne': 6.3, 'nombre_critiques': 6227, 'repartition_note': [62, 87, 170, 376, 720, 1501, 1744, 992, 381, 194]}",97,"['7,4', '208 180']",51,"{'budget': '$20,000,000', 'Cumulative_WW_Gross': '$208,314,186', 'location': 'UK | USA'}"
93,L'Avenir,Film,['Drame'],"Nathalie est professeur de philosophie dans un lycée parisien. Passionnée par son travail, elle aime par-dessus tout transmettre son goût de la pensée. Mariée, deux enfants, elle partage sa vie entre sa famille, ses anciens élèves et sa mère, très possessive. Un jour, son mari lui annonce qu’il part vivre avec une autre femme. Confrontée à une liberté nouvelle, elle va réinventer sa vie.",['Mia Hansen-Løve'],1 h 40 min,6 avril 2016,"['Isabelle Huppert', ' André Marcon', ' Roman Kolinka']","{'note_moyenne': 6.1, 'nombre_critiques': 2444, 'repartition_note': [21, 32, 101, 187, 347, 739, 636, 293, 55, 33]}",98,"['7,0', '11 885']",88,"{'budget': '$2,100,000', 'Cumulative_WW_Gross': '$5,638,693', 'location': 'France | Germany'}"
94,Nocturnal Animals,Film,"['Drame', 'thriller']","Susan Morrow, une galeriste d’art de Los Angeles, s’ennuie dans l’opulence de son existence, délaissée par son riche mari Hutton. Alors que ce dernier s’absente, encore une fois, en voyage d’affaires, Susan reçoit un colis inattendu : un manuscrit signé de son ex-mari Edward Sheffield dont elle est sans nouvelles depuis des années. Une note l’accompagne, enjoignant la jeune femme à le lire puis à le contacter lors de son passage en ville. Seule dans sa maison vide, elle entame la lecture de l’oeuvre qui lui est dédicacée.",['Tom Ford'],1 h 56 min,4 novembre 2016,"['Amy Adams', ' Jake Gyllenhaal', ' Michael Shannon']","{'note_moyenne': 7.0, 'nombre_critiques': 19041, 'repartition_note': [90, 116, 234, 557, 1268, 3190, 6211, 5446, 1567, 362]}",99,"['7,5', '237 678']",67,"{'budget': '$22,500,000', 'Cumulative_WW_Gross': '$30,311,857', 'location': 'USA'}"
95,Demain tout commence,Film,['Comédie dramatique'],"Samuel vit sa vie sans attaches ni responsabilités, au bord de la mer sous le soleil du sud de la France, près des gens qu’il aime et avec qui il travaille sans trop se fatiguer. Jusqu’à ce qu’une de ses anciennes conquêtes lui laisse sur les bras un bébé de quelques mois, Gloria : sa fille ! Incapable de s’occuper d’un bébé et bien décidé à rendre l’enfant à sa mère, Samuel se précipite à Londres pour tenter de la retrouver, sans succès. 8 ans plus tard, alors que Samuel et Gloria ont fait leur vie à Londres et sont devenus inséparables, la mère de Gloria revient dans leur vie pour récupérer sa fille…",['Hugo Gélin'],1 h 55 min,7 décembre 2016,"['Omar Sy', ' Clémence Poésy', ' Antoine Bertrand']","{'note_moyenne': 6.4, 'nombre_critiques': 7822, 'repartition_note': [54, 87, 163, 375, 844, 1838, 2334, 1393, 487, 247]}",100,"['7,4', '22 619']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$49,619,118', 'location': 'France | UK'}"
0,La La Land,Film,"['Comédie musicale', ' comédie dramatique', ' romance']","Au cœur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre deux auditions.
De son côté, Sebastian, passionné de jazz, joue du piano dans des clubs miteux pour assurer sa subsistance.
Tous deux sont bien loin de la vie rêvée à laquelle ils aspirent…
Le destin va réunir ces doux rêveurs, mais leur coup de foudre résistera-t-il aux tentations, aux déceptions, et à la vie trépidante d’Hollywood ?",['Damien Chazelle'],2 h 08 min,9 décembre 2016,"['Ryan Gosling', ' Emma Stone', ' John Legend']","{'note_moyenne': 7.5, 'nombre_critiques': 52680, 'repartition_note': [308, 392, 664, 1339, 2766, 5488, 10793, 14405, 10738, 5787]}",1,"['8,0', '503 519']",94,"{'budget': '$30,000,000', 'Cumulative_WW_Gross': '$449,287,645', 'location': 'USA | Hong Kong'}"
1,Blade Runner 2049,Film,"['Science-fiction', 'film noir']","L'officier K, un Blade Runner, fait une découverte révolutionnaire qui l'amène à la recherche d'un ancien agent nommé Rick Deckard.",['Denis Villeneuve'],2 h 44 min,4 octobre 2017,"['Ryan Gosling', ' Harrison Ford', ' Jared Leto']","{'note_moyenne': 7.4, 'nombre_critiques': 35775, 'repartition_note': [143, 189, 371, 954, 1975, 4304, 8561, 11267, 6330, 1681]}",2,"['8,0', '459 193']",81,"{'budget': '$150,000,000', 'Cumulative_WW_Gross': '$259,240,525', 'location': 'USA | UK | Hungary | Canada | Spain'}"
2,Logan,Film,"['Action', ' science-fiction', ' aventure']","Dans un futur proche, un Logan épuisé prend soin d'un Professeur X malade dans un recoin de la frontière mexicaine. Mais les tentatives de Logan de se cacher du monde et son héritage sont bouleversés lorsqu'une jeune mutante arrive, poursuivie par les forces du mal.",['James Mangold'],2 h 15 min,1 mars 2017,"['Hugh Jackman', ' Patrick Stewart', ' Dafne Keen']","{'note_moyenne': 7.2, 'nombre_critiques': 39719, 'repartition_note': [110, 168, 397, 921, 2315, 5936, 12233, 11916, 4527, 1196]}",3,"['8,1', '645 594']",77,"{'budget': '$97,000,000', 'Cumulative_WW_Gross': '$619,021,436', 'location': 'USA'}"
3,Dunkerque,Film,"['Action', ' drame', 'guerre']",,['Christopher Nolan'],1 h 46 min,19 juillet 2017,"['Fionn Whitehead', ' Mark Rylance', ' Tom Hardy']","{'note_moyenne': 7.0, 'nombre_critiques': 43279, 'repartition_note': [138, 202, 549, 1352, 3200, 7297, 13089, 11658, 4638, 1156]}",4,"['7,8', '552 579']",94,"{'budget': '$100,000,000', 'Cumulative_WW_Gross': '$526,949,403', 'location': 'UK | Netherlands | France | USA'}"
4,Get Out,Film,"['Thriller', 'Épouvante-horreur']","Couple mixte, Chris et sa petite amie Rose filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable.",['Jordan Peele'],1 h 43 min,27 février 2017,"['Daniel Kaluuya', ' Allison Williams', ' Catherine Keener']","{'note_moyenne': 7.2, 'nombre_critiques': 41891, 'repartition_note': [107, 162, 354, 861, 2020, 5490, 13946, 13598, 4319, 1034]}",5,"['7,7', '490 605']",85,"{'budget': '$4,500,000', 'Cumulative_WW_Gross': '$255,446,148', 'location': 'USA | Japan'}"
5,Baby Driver,Film,"['Action', ' thriller', ' comédie']","Chauffeur pour des braqueurs de banque, Baby ne compte que sur lui-même pour être le meilleur. Lorsqu’il rencontre la fille de ses rêves, il cherche à mettre fin à ses activités criminelles. Mais son patron ne va pas le laisser revenir dans le droit chemin si facilement...",['Edgar Wright'],1 h 53 min,28 juin 2017,"['Ansel Elgort', ' Lily James', ' Kevin Spacey']","{'note_moyenne': 6.9, 'nombre_critiques': 34812, 'repartition_note': [150, 226, 531, 1191, 2700, 6373, 11005, 8796, 2986, 854]}",6,"['7,6', '437 025']",86,"{'budget': '$34,000,000', 'Cumulative_WW_Gross': '$226,945,087', 'location': 'UK | USA'}"
